Size	Block	Mode	L2_DCM
1000	32	ijk	48000
2000	32	ijk	134018
3000	32	ijk	241937
4000	32	ijk	378920
5000	32	ijk	549299
1000	32	ikj	15946
2000	32	ikj	671209
3000	32	ikj	6887041
4000	32	ikj	41133638
5000	32	ikj	95080566
1000	836	ijk	45405
2000	836	ijk	364389
3000	836	ijk	1136191
4000	836	ijk	2516543
5000	836	ijk	4928568
1000	836	ikj	24076
2000	836	ikj	120574
3000	836	ikj	332111
4000	836	ikj	789482
5000	836	ikj	1464580
